# ----------------------------------------
# www.visit-trzic.com - GA4
# Najbolj obiskane strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Page title,Page path and screen class,Views,Views per active user,Active users,Event count,Key events,Average engagement time per session
2026,05,Dom na Kofcah,/sl/prenocisca/dom-na-kofcah,1,0,0,2,0,0
2026,05,Dom pod Storžičem,/sl/prenocisca/dom-pod-storzicem,5,1.6666666666666667,3,11,0,9.5
2026,05,Dostop do Tržiča,/sl/info/dostop,5,1.25,4,9,0,0
2026,05,Dovžan Gorge Scenic Educational Trail,/en/paths/walks-in-nature/dovzan-gorge-scenic-educational-trail,2,2,1,5,0,36
2026,05,Dovžan-Schlucht,/sl/znamenitosti/naravne-znamenitosti/dovzanova-soteska,0,0,1,1,0,67
2026,05,Dovžanova soteska,/sl/znamenitosti/naravne-znamenitosti/dovzanova-soteska,126,1.9384615384615385,65,302,0,27.597560975609756
2026,05,Doživite nekaj posebnega!,/sl/dozivetja,9,1.2857142857142858,7,16,0,2.2857142857142856
2026,05,Entdecke ein Stück Paradies auf zwei Rädern,/sl/aktivnosti/kolesarjenje,0,0,1,1,0,27
2026,05,Entdecke leichtfüßig ein Stück Paradies,/de/aktivitaeten/bergsteigen,3,1.5,2,5,0,15
2026,05,Escape the Heat and Have an Adventure in the Dovžan Gorge!,/en/blog/escape-the-heat-and-have-an-adventure-in-the-dovzan-gorge,2,2,1,4,0,13
2026,05,Experiences,/en/experiences,2,1,2,2,0,0
2026,05,Fattoria alpina Pr 'Tič,/it/alloggi/fattoria-alpina-pr-tic,2,2,1,4,0,0
2026,05,Festivities in the heart of the Karawanks,/en/events/festivities-in-the-heart-of-the-karawanks,1,1,1,3,0,0
2026,05,Firbc' Okn Restaurant,/en/cuisine/firbc-okn-restaurant,2,2,1,4,0,0
2026,05,Free tourist shuttle,/en/activities/free-tourist-shuttle,2,2,1,4,0,0
2026,05,Gasthof Karavla 297,/de/kulinarik/gasthof-karavla-297,14,2.8,5,28,0,1.7142857142857142
2026,05,Gasthof und Pizzeria Smuk,/de/kulinarik/gasthof-und-pizzeria-smuk,10,2.5,4,21,0,54
2026,05,Gastronomie,/de/kulinarik/gastronomie,4,2,2,8,0,24
2026,05,Gesicherter Klettersteig auf Zelenica,/de/wege/wanderwege/gesicherter-klettersteig-auf-zelenica,4,2,2,9,0,73.5
2026,05,Getting there,/en/info/getting-there,2,2,1,5,0,13
2026,05,Glamping Ekološka kmetija Šlibar,/sl/prenocisca/glamping-ekoloska-kmetija-slibar,1,1,1,3,0,0
2026,05,Glamping Mountain Fairytale (Glamping Bergmärchen),/de/unterkuenfte/glamping-mountain-fairytale-glamping-bergmarchen,3,1.5,2,7,0,0
2026,05,Glamping Mountain Fairytale (V gorski pravljici),/sl/prenocisca/glamping-mountain-fairytale-v-gorski-pravljici,1,1,1,1,0,0
2026,05,Glamping at Šlibar Organic Farm,/en/accommodation/glamping-at-slibar-organic-farm,1,1,1,3,0,0
2026,05,Glamping koča ob reki,/sl/prenocisca/glamping-koca-ob-reki,1,1,1,2,0,12
2026,05,Glamping Ökologischer Bauernhof Šlibar,/de/unterkuenfte/glamping-okologischer-bauernhof-slibar,2,2,1,4,0,0
2026,05,Gorenjska Beach,/en/activities/gorenjska-beach,3,1.5,2,6,0,1
2026,05,Gorenjska plaža,/sl/aktivnosti/gorenjska-plaza,26,1.8571428571428572,14,59,0,4.928571428571429
2026,05,Gorenjska.bike,/de/aktivitaeten/gorenjskabike,1,1,1,1,0,0
2026,05,Gorenjska.bike,/en/activities/gorenjskabike,1,0,0,2,0,0
2026,05,Gorenjska.bike,/sl/aktivnosti/gorenjskabike,4,2,2,9,0,12
2026,05,Gorsko kraljestvo zgodb in čudes,/sl/info,10,1.25,8,17,0,11.25
2026,05,Gorsko kraljestvo zgodb in čudes,/sl/info/trziska-dezela,2,1,2,3,0,14
2026,05,Gostilna Pri Bajdu,/sl/kulinarika/gostilna-pri-bajdu,10,2,5,23,0,16.333333333333332
2026,05,Gostinska ponudba,/sl/kulinarika/gostinska-ponudba,15,1.25,12,29,0,20.666666666666668
2026,05,Gostišče Karavla 297,/sl/kulinarika/gostisce-karavla-297,5,1.6666666666666667,3,11,0,36.666666666666664
2026,05,Gostišče Smuk,/sl/kulinarika/gostisce-smuk,28,1.8666666666666667,15,62,0,8.25
2026,05,Gozdna učna pot,/sl/poti/poti-po-naravi/gozdna-ucna-pot,7,2.3333333333333335,3,14,0,37.25
2026,05,Green&Safe,/sl/info/greensafe,1,1,1,1,0,0
2026,05,Gregorjevo - Vuč u vodo,/sl/prireditve/gregorjevo-vuc-u-vodo,2,2,1,5,0,160
2026,05,Hišica ob gozdu (Our Forest House),/sl/prenocisca/hisica-ob-gozdu-our-forest-house,1,1,1,2,0,47
2026,05,Hrastov memorial – Internationales Bergstraßenrennen der Oldtimer,/de/veranstaltungen/hrastov-memorial-internationales-bergstrassenrennen-der-oldtimer,6,2,3,13,0,37.333333333333336
2026,05,Hrastov memorial – mednarodni gorski preizkus starodobnikov,/sl/prireditve/hrastov-memorial-mednarodni-gorski-preizkus-starodobnikov,19,1.5833333333333333,12,44,0,11.76923076923077
2026,05,"I'm from Tržič, I'm known far and wide",/en/paths/walks-around-town/im-from-trzic-im-known-far-and-wide,1,1,1,2,0,45
2026,05,Il Sentiero alpino di Tržič,/it/sentieri/sentieri-alpini/il-sentiero-alpino-di-trzic,3,1,3,4,0,36.666666666666664
2026,05,Il Sentiero delle tre campane,/it/sentieri/sentieri-nella-natura/il-sentiero-delle-tre-campane,1,1,1,2,0,443
2026,05,Il Sentiero didattico panoramico della gola di Dovžan,/it/sentieri/sentieri-nella-natura/il-sentiero-didattico-panoramico-della-gola-di-dovzan,5,5,1,8,0,0
2026,05,Il campo di lavoro di Ljubelj,/it/attrazioni/attrazioni-culturali/il-campo-di-lavoro-di-ljubelj,10,2.5,4,20,0,3.4
2026,05,Il drago dall'uovo del gallo,/it/attrazioni/attrazioni-culturali/il-drago-dalluovo-del-gallo,2,2,1,4,0,0
2026,05,Il tiglio secolare di Žiganja vas,/it/attrazioni/attrazioni-naturali/il-tiglio-secolare-di-ziganja-vas,5,1.6666666666666667,3,10,0,17.333333333333332
2026,05,In und um Tržič gibt es fast jeden Tag etwas Neues,/de/veranstaltungen,2,2,1,2,0,0
