# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,06,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/die-altstadt,21,13,14,11,0.6190476190476191,0,27.80952380952381
2026,06,/sl/poti/kolesarske-poti/k16-trzic-jezersko,21,12,13,8,0.5714285714285714,0,51.19047619047619
2026,06,/sl/poti/pejmo-v-planine/kriska-gora,21,16,21,21,0.7619047619047619,0,8.952380952380953
2026,06,/sl/prenocisca/dom-pod-storzicem,21,17,19,17,0.8095238095238095,0,17.523809523809526
2026,07,/en/paths/walks-in-nature/dovzan-gorge-scenic-educational-trail,21,18,20,16,0.8571428571428571,0,15.047619047619047
2026,07,/sl/kulinarika/picerija-pod-gradom,21,12,19,18,0.5714285714285714,0,11.380952380952381
2026,07,/sl/prenocisca/dom-pod-storzicem,21,17,19,16,0.8095238095238095,0,29.095238095238095
2026,07,/sl/prireditve/ples-brez-meja-na-prelazu-stari-ljubelj,21,15,18,14,0.7142857142857143,0,21.61904761904762
2026,05,/sl/blog/bornova-pot-na-prevalo,20,11,16,16,0.55,0,4.9
2026,06,/en/blog/jelendol-and-the-stegovnik-waterfall,20,15,19,18,0.75,0,80.4
2026,07,/sl/poti/pejmo-v-planine/korosica,20,10,20,20,0.5,0,3.45
2026,07,/sl/prenocisca/plansarija-tegosce,20,14,17,13,0.7,0,34.35
2026,07,/sl/prenocisca/seznam-prenocisc,20,19,20,17,0.95,0,96.4
2026,06,/de/wege/radtouren/k35-der-loiblpass,19,16,18,18,0.8421052631578947,0,17.42105263157895
2026,07,/sl/poti/pejmo-v-planine/kriska-gora,19,12,17,16,0.631578947368421,0,18.42105263157895
2026,06,/en/paths/walks-in-nature/dovzan-gorge-scenic-educational-trail,18,13,13,11,0.7222222222222222,0,36.77777777777778
2026,06,/sl/aktivnosti/gorenjskabike,18,13,16,15,0.7222222222222222,0,16.5
2026,07,/de/unterkuenfte/die-berghutte-planinski-dom-kofce,18,15,15,14,0.8333333333333334,0,55.55555555555556
2026,07,/en/attractions/cultural-attractions/ljubelj-labour-camp,18,15,15,15,0.8333333333333334,0,10.055555555555555
2026,07,/en/paths/mountain-hikes/kofce,18,15,17,17,0.8333333333333334,0,8.055555555555555
2026,07,/sl/kulinarika/gostinska-ponudba,18,16,17,12,0.8888888888888888,0,85.05555555555556
2026,07,/sl/poti/kolesarske-poti/k11-planine-pod-kosuto,18,10,11,6,0.5555555555555556,0,73.77777777777777
2026,07,/sl/poti/kolesarske-poti/k35-prelaz-ljubelj,18,17,17,15,0.9444444444444444,0,126.88888888888889
2026,05,/sl/poti/pejmo-v-planine/s-pungrata-do-sije,17,13,16,15,0.7647058823529411,0,10.058823529411764
