tank,cas,meritev,globina_cm,vrednost,enota
Trzic-Tank1,2026-06-03T09:00:00,padavine,,41.8,mm
Trzic-Tank1,2026-06-03T10:00:00,padavine,,47.4,mm
Trzic-Tank1,2026-06-03T11:00:00,padavine,,48.6,mm
Trzic-Tank1,2026-06-03T12:00:00,padavine,,48.0,mm
Trzic-Tank1,2026-06-03T13:00:00,padavine,,44.2,mm
Trzic-Tank1,2026-06-03T14:00:00,padavine,,41.8,mm
Trzic-Tank1,2026-06-03T15:00:00,padavine,,37.2,mm
Trzic-Tank1,2026-06-03T16:00:00,padavine,,32.8,mm
Trzic-Tank1,2026-06-03T17:00:00,padavine,,30.4,mm
Trzic-Tank1,2026-06-03T18:00:00,padavine,,26.8,mm
Trzic-Tank1,2026-06-03T19:00:00,padavine,,25.4,mm
Trzic-Tank1,2026-06-03T20:00:00,padavine,,22.4,mm
Trzic-Tank1,2026-06-03T21:00:00,padavine,,19.6,mm
Trzic-Tank1,2026-06-03T22:00:00,padavine,,18.4,mm
Trzic-Tank1,2026-06-03T23:00:00,padavine,,17.4,mm
Trzic-Tank1,2026-06-04T00:00:00,padavine,,17.4,mm
Trzic-Tank1,2026-06-04T01:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-04T02:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-04T03:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-04T04:00:00,padavine,,13.6,mm
Trzic-Tank1,2026-06-04T05:00:00,padavine,,8.2,mm
Trzic-Tank1,2026-06-04T06:00:00,padavine,,7.6,mm
Trzic-Tank1,2026-06-04T07:00:00,padavine,,6.6,mm
Trzic-Tank1,2026-06-04T08:00:00,padavine,,6.0,mm
Trzic-Tank1,2026-06-04T09:00:00,padavine,,5.4,mm
Trzic-Tank1,2026-06-04T10:00:00,padavine,,4.8,mm
Trzic-Tank1,2026-06-04T11:00:00,padavine,,4.6,mm
Trzic-Tank1,2026-06-04T12:00:00,padavine,,4.2,mm
Trzic-Tank1,2026-06-04T13:00:00,padavine,,4.0,mm
Trzic-Tank1,2026-06-04T14:00:00,padavine,,4.0,mm
Trzic-Tank1,2026-06-04T15:00:00,padavine,,3.8,mm
Trzic-Tank1,2026-06-04T16:00:00,padavine,,3.6,mm
Trzic-Tank1,2026-06-04T17:00:00,padavine,,3.6,mm
Trzic-Tank1,2026-06-04T18:00:00,padavine,,3.4,mm
Trzic-Tank1,2026-06-04T19:00:00,padavine,,3.2,mm
Trzic-Tank1,2026-06-04T20:00:00,padavine,,3.2,mm
Trzic-Tank1,2026-06-04T21:00:00,padavine,,3.0,mm
Trzic-Tank1,2026-06-04T22:00:00,padavine,,3.2,mm
Trzic-Tank1,2026-06-04T23:00:00,padavine,,3.0,mm
Trzic-Tank1,2026-06-05T00:00:00,padavine,,3.0,mm
Trzic-Tank1,2026-06-05T01:00:00,padavine,,2.8,mm
Trzic-Tank1,2026-06-05T02:00:00,padavine,,2.8,mm
Trzic-Tank1,2026-06-05T03:00:00,padavine,,2.8,mm
Trzic-Tank1,2026-06-05T04:00:00,padavine,,2.8,mm
